qid,name,pageviews_sum_global,langs_seen
Q16194176,Howard Lutnick,332648,de,en,fr
Q213919,George Foreman,331704,de,en,es,fr,ja
Q2263,Tom Hanks,331035,de,en,es,fr,ja
Q309643,Ed Gein,330205,de,en,es,fr
Q1744,Madonna,328356,de,en,es,fr,ja
Q40504,Jim Carrey,328249,de,en,es,fr
Q142794,Neymar,328156,de,en,es,fr
Q128297,Maria Callas,327486,de,en,es,fr
Q85518537,Carlos Alcaraz,325857,de,es,fr,ja
Q9685,Diana, Princess of Wales,325055,de,en,es,fr
Q42869,Nicolas Cage,323812,de,en,es,fr,ja
Q237324,Lisa Marie Presley,322726,de,en,es,fr
Q32522,Jennifer Aniston,322036,de,en,es,fr
Q57336,Ali Khamenei,321734,de,en,ja
Q36107,Muhammad Ali,321675,de,en,es,fr
Q712860,Chris Martin,321409,de,en,es,fr
Q44437,John Cena,321263,de,en,es,fr
Q926963,Alan Ritchson,321008,de,en,es,fr,ja
Q313204,Kieran Culkin,320846,de,en,es,fr
Q44329,Bashar al-Assad,319442,de,en,es,fr,ja
Q114390240,Usha Vance,318860,de,en,es,fr
Q47365,Marie Antoinette,316488,de,en,es,fr,ja
Q15897,Amy Winehouse,316026,de,en,es,fr
Q33866,Theodore Roosevelt,315899,en,es,fr
Q553704,Cameron Boyce,314319,de,en,es,fr
Q42581,Keira Knightley,313706,de,en,es,fr
Q5750470,Karla Sofía Gascón,311826,de,en,es,fr
Q23505,George H. W. Bush,311479,de,en,es,fr
Q106997,Jamie Lee Curtis,310346,de,en,es,fr,ja
Q16221742,Matt Gaetz,309724,de,en,fr
Q210547,Aubrey Plaza,309722,de,en,es,fr
Q5084390,Charli XCX,308258,en,fr
Q178882,Kristen Bell,306481,de,en,es,fr
Q209518,Wayne Gretzky,306265,de,en
Q11531457,Kenzō Matsumura,305813,ja
Q202735,Billy Bob Thornton,305687,en,fr
Q104013323,Yūmi Kawai,305012,ja
Q269309,Talulah Riley,304818,de,en,es,fr
Q9588,Richard Nixon,303065,de,en,es,fr
Q239505,Chhatrapati Shivaji Maharaj,300992,en
Q37876,Natalie Portman,300343,de,en,es,fr
Q242351,Ivana Trump,299903,de,en,es,fr
Q17011236,Sarah McBride,299451,de,en,fr
Q17714,Stephen Hawking,298871,de,en,es,fr,ja
Q17660516,Taylor Fritz,298786,de,en,es,fr
Q1316,Saddam Hussein,297498,de,en,es,fr
Q55973259,Nagisa Watanabe,296369,ja
Q2599,Paul McCartney,295432,de,en,es,fr
Q7128915,Pam Bondi,295046,de,en,es
Q7435987,Scott Bessent,294984,en,ja
Q106301562,Gracie Abrams,292823,de,en
Q103939,Charlie Sheen,291774,de,en,es
Q1770624,Kylie Jenner,291659,de,en,es,fr
Q269412,George V,287576,de,en,es
Q174614,Carlo Ancelotti,286052,de,en,es,fr,ja
Q295498,Henry Cavill,285891,de,en,es,fr,ja
Q122194407,Ruby Franke,285684,de,en
Q1001,Mahatma Gandhi,285176,de,en,es,fr
Q204586,Parker Posey,285155,en
Q202589,Cillian Murphy,284492,de,en,es,fr
Q290094,Kaitlin Olson,283613,en
Q212545,Natasha Richardson,282989,de,en,es,fr
Q41396,Josh Brolin,282750,de,en,es,fr
Q79031,Mike Tyson,278334,de,en,es,fr,ja
Q112184628,Dean Huijsen,277659,en,es,fr,ja
