qid,enTitle,pageviews_30d_en,sitelinks
Q2023710,Tom_Holland,82675,113
Q44333953,Bad_Bunny,82667,46
Q80424,Nelly_Furtado,82569,82
Q32522,Jennifer_Aniston,82062,104
Q6171982,Jeanine_Pirro,82059,11
Q91,Abraham_Lincoln,81933,206
Q18735049,Mia_Khalifa,81793,77
Q118809414,Térence_Atmane,81764,11
Q349391,Helen_Mirren,81657,88
Q3498996,N._T._Rama_Rao_Jr.,81388,35
Q87268125,Malick_Thiaw,81159,28
Q888713,Bobby_Whitlock,81072,19
Q57618112,MrBeast,80965,63
Q19877770,Timothée_Chalamet,80783,74
Q1001,Mahatma_Gandhi,80605,205
Q54314,Chris_Hemsworth,80361,86
Q98102459,Lucas_Chevalier,80334,21
Q10218,Rahul_Gandhi,80104,55
Q8016,Winston_Churchill,79992,182
Q306403,James_Franco,79636,74
Q19837,Steve_Jobs,79542,170
Q3288246,Marc_Maron,79495,22
Q1058,Narendra_Modi,79249,146
Q14535,Fred_Armisen,79203,33
Q5608,Eminem,78935,158
Q19650398,Alex_Lawther,78580,26
Q187447,Pablo_Escobar,77531,100
Q21713391,Morgan_Spector,77371,16
Q269412,George_V,77151,100
Q7925032,Vice_Ganda,77117,12
Q233619,Hrithik_Roshan,77098,69
Q202735,Billy_Bob_Thornton,77044,58
Q192682,Ryan_Reynolds,77017,80
Q590227,Edward_VIII,76814,97
Q2756349,Liam_Payne,76756,64
Q30322608,Laura_Loomer,76657,18
Q855,Joseph_Stalin,75880,207
Q6103950,JB_Pritzker,75834,28
Q175535,Matt_Damon,75747,97
Q720,Genghis_Khan,74882,177
Q132180570,Edward_Coristine,74828,1
Q9960,Ronald_Reagan,74816,250
Q17317909,Carrie_Coon,74771,35
Q44077,Jessica_Alba,74456,96
Q3518013,N._Chandrababu_Naidu,74203,26
Q937,Albert_Einstein,74093,230
Q40572,Heath_Ledger,73786,98
Q203268,Michael_C._Hall,73718,51
Q41163,Al_Pacino,73687,116
Q207,George_W._Bush,73608,213
Q36970,Jackie_Chan,73584,146
Q1316,Saddam_Hussein,73457,134
Q234096,Kristen_Johnston,73396,31
Q44473,O._J._Simpson,73260,56
Q24000262,Ahn_Hyo-seop,73258,26
Q888178,Bob_Odenkirk,73222,46
Q6109517,Pope_Leo_XIV,73200,146
Q38370,Henry_VIII,73133,107
Q21914464,Dua_Lipa,73016,98
Q158957,Priyanka_Chopra,72997,100
Q22919934,Sarah_Rector,72572,11
Q347395,Luis_Guzmán,72471,40
Q1149,Indira_Gandhi,72459,131
Q1744,Madonna,72306,153
Q426582,Anthony_Bourdain,72199,87
Q485508,Charles_Manson,71832,84
Q4904084,Biddy_Baxter,71763,2
Q264199,Dana_Plato,71639,23
Q7045396,Noah_Hawley,71625,22
Q349350,Alan_Tudyk,71473,40
Q110008128,Benson_Boone,71413,25
Q3345031,Nagarjuna_(actor),71407,27
Q96372195,Anthony_Hernandez,71320,5
Q6383803,Keir_Starmer,71270,108
Q151892,Ariana_Grande,71186,122
Q229263,Alyson_Stoner,71113,39
Q41421,Michael_Jordan,71081,110
Q110053,Mats_Hummels,71027,72
Q242351,Ivana_Trump,70241,57
Q110718470,Victoria_Mboko,70084,16
Q1124,Bill_Clinton,69734,173
Q299700,Daniel_Dae_Kim,69604,43
Q8877,Steven_Spielberg,69573,143
Q19198,Chester_Bennington,69533,87
Q169963,Jason_Statham,69497,87
Q483118,Ben_Affleck,69363,94
Q40504,Jim_Carrey,69262,109
Q97588420,Ashley_Biden,68926,30
Q19518278,Diogo_Jota,68443,67
Q62023911,Julia_Butters,68394,28
Q33866,Theodore_Roosevelt,68240,145
Q21511883,Brigitte_Macron,68145,50
Q3772,Quentin_Tarantino,68123,107
Q17714,Stephen_Hawking,67837,152
Q163263,Eva_Longoria,67551,72
Q8409,Alexander_the_Great,67367,214
Q168724,Emma_Thompson,67075,76
Q302,Jesus,66987,276
Q62975,Sharon_Stone,66948,79
Q113704154,Lamine_Yamal,66930,74
Q39829,Stephen_King,66924,112
Q228918,Gloria_Gaynor,66682,55
Q23,George_Washington,66622,212
Q36949,Robert_De_Niro,66221,117
Q9685,Diana,_Princess_of_Wales,66182,124
Q117089809,Sophia_Hammons,66072,2
Q83287,Selena_Gomez,65972,153
Q315202,Roscoe_Arbuckle,65971,41
Q5383,David_Bowie,65797,117
Q614774,Maggie_Q,65553,51
Q191084,Val_Kilmer,65364,78
Q4391858,Shohei_Ohtani,65310,35
Q1806985,Sharon_Osbourne,65027,32
Q27966578,Josh_Allen,65025,18
Q201656,Nick_Jonas,65005,68
Q7542,Prince_(musician),64898,98
Q295498,Henry_Cavill,64452,72
Q1317,Osama_bin_Laden,64436,148
Q1349215,Malcolm-Jamal_Warner,64225,22
Q42101,Denzel_Washington,64207,99
Q65214814,Conan_Gray,63859,35
Q4699784,Ajit_Doval,63655,15
Q1203,John_Lennon,63409,139
Q38689412,Karrion_Kross,63214,17
Q166389,Daniel_Day-Lewis,63065,94
Q298672,Justin_Long,62582,46
Q3246841,Johnny_Hardwick,62275,13
Q7207,Elizabeth_I,62146,152
Q3295924,Marty_Reisman,61773,7
Q2599,Paul_McCartney,61770,125
Q18786737,Aaron_Pico,61318,6
Q983571,Johnny_Lever,61233,37
Q240573,Sophie_Turner,61126,67
Q181878,Rani_of_Jhansi,61051,67
Q199896,Karl_Malone,61023,54
Q135456033,Cary_Christopher,60164,2
Q7435987,Scott_Bessent,59724,28
Q331155,Shruti_Haasan,59552,52
Q20875,Edward_VII,59473,97
Q47333630,Thomas_Dundon,59448,3
Q234691,Stevie_Nicks,59429,54
Q212002,Amanda_Bynes,59321,56
Q36844,Rihanna,59305,137
Q229029,Thandiwe_Newton,59214,50
Q359604,Kyle_Chandler,59072,39
Q362616,Jon_Bernthal,58948,52
Q176455,Melanie_Griffith,58933,67
Q78473599,Virginia_Giuffre,58889,22
