Rank,Name
667,Dom Pedro II of Brazil
668,Charles Atlas
669,Haile Selassie
670,Albert Schweitzer
671,Hector Berlioz
672,John James Audubon
673,Al-Mahdi
674,George Gamow
675,Nathaniel Hawthorne
676,Antonin Dvorak
677,Frances Willard
678,Jim Thorpe
679,Sato Eisaku
680,Joseph Glidden
681,Muhammad Ali
682,Dorothy Hodgkin
683,Blackbeard
684,Alexander Parkes
685,Jacques Cousteau
686,Henry Fielding
687,Gerhard Groote
688,Chester Carlson
689,Elizabeth Kenny
690,Kwame Nkrumah
691,Thomas Carlyle
692,John L Sullivan
693,Hannah Glasse
694,Blanche of Castile
695,Zwangendaba
696,Neil Armstrong
697,Bayezid
698,Thomas Hopkins Gallaudet
699,Unkei
700,Theodore Roosevelt
701,William Morton
702,Emperor Joseph II
703,Peter Drucker
704,Amelia Earhart
705,René Geronimo Favaloro
706,Abbas I of Persia
707,Matthew Perry
708,James Monroe
709,Sophie Germain
710,John Bardeen
711,Georges Clemenceau
712,John Ford
713,Stephen Wozniak
714,Leo Szilard
715,Seymour Cray
716,Herman Melville
717,Katherine Dexter McCormick
718,Giuseppe Fiorelli
719,Margaret Thatcher
720,T.S. Elliot
721,Colette
722,Alfonso X of Spain
723,Martin Buber
724,David Livingstone
725,Gertrude Stein
726,Saint Albertus Magnus
727,David Packard
728,Julia Margaret Cameron
729,Edward Robinson Squibb
730,Robert Noyce
731,Milton Friedman
732,Antonio Vivaldi
733,Theodor Schwann
734,Mobutu Sese Seko
735,Salvador Dali
736,Queen Margaret of Denmark
737,Alexander Nevsky
738,Friedrich Von Hayek
739,Matteo Ricci
740,Ray Kroc
741,Franz Boas
742,Helmut Kohl
743,Pierre De Coubertin (1863-1937)
744,Ralph Nader
745,Eduard Bernstein
746,Alfred Hitchcock
747,Edward Bernays
748,Sebastien Le Prestre De Vauban
749,Charles Proteus Steinmetz
750,Friedrich Wilhelm Bessel
751,Jean Nidetch
752,Albert Camus
753,Juan Domingo Peron
754,Stephen Crane
755,Mary Cassatt
756,Robert Louis Stevenson
757,Tulsidas
758,Samuel Pepys
759,Elizabeth Barrett Browning
760,George Orwell
761,Jean-Bernard-Leon Foucault
762,James McNeill Whistler
763,John Harvard
764,William S Gilbert
765,Herbert of Cherbury
766,Muddy Waters
767,Izaak Walton
768,Daniel Edgar Sickles
769,Buckminster Fuller
770,Charles Frederick Worth
771,Ou-Yang Hsiu
772,Mother Teresa
773,Mordecai Anielewicz
774,Toni Morrison
775,Andrei Sakharov
776,Heinrich Schliemann
777,Barthold Georg Niebuhr
778,Euclides Da Cunha
779,Emily Post
780,Fernao Lopes
781,Marie Antoinette
782,Toussaint Louvreture
783,Alexander Calder
784,Louise Brown
785,Jackson Pollock
786,George Fox
787,Jonathan Edwards
788,Werner Forssmann
789,Robert Baden Powell
790,Robert the Bruce
791,Indira Gandhi
792,Peter Carl Faberge
793,Cyrus McCormick
794,Pope Julius II
795,Charlie Chaplin
796,Thomas Babington Macauley
797,Piet Mondrian
798,David Bushnell
799,Thomas Huxley
800,John Chapman
801,El Cid
802,Pope Gregory Xiii
803,Johann Strauss
804,William Pitt the Elder
805,Henry De Bracton
806,Max Weber
807,Miguel Hidalgo Y Costilla (Página De Las Conmemoraciones De México 2010)
808,Herbert Spencer
809,Pierre Teilhard De Chardin
810,William Wilberforce
811,Ben Johnson
812,Brigham Young
813,Leon Battista Alberti
814,Alexander Cartwright
815,Hans-Joachim Pabst Von Ohain
816,Jerzy Neyman
817,Henri-Toulouse Lautrec
818,Martha Graham
819,Charles Hard Townes
820,Laurence Olivier
821,Malcolm X
822,Igor Sikorsky
823,John Pym
824,John Graunt
825,J. Willard Gibbs
826,Felix Hoffmann
827,Sarah Josepha Hale
828,Robert Frost
829,Francis Fry
830,David Sarnoff
831,Dom Perignon
832,Friedrich Serturner
833,Stephen Foster
834,Federico Fellini
835,Edwin Drake
836,Simon Stevin
837,Pope Boniface Viii
838,Sergei Diaghilev
839,Paul Klee
840,Pele
841,Richard Rodgers
842,Louis Wirth
843,Jayavarman Vii of Indochina
844,Langston Hughes
845,Lewis Carroll
846,Algernon Charles Swinburne
847,Umm Kulthum
848,Lord Palmerston
849,Alfred Kinsey
850,Marquis De Lafayette
851,Cosimo De Medici
852,Queen Catherine of Aragon
853,Miyan Tansen
854,Bronislaw Malinowski
855,Maurice Ravel
856,Bernardino Ramazzini
857,George Gershwin
858,Francisco Pizzaro
859,George Gallup
860,Bonaventure
861,Florence Kelley
862,Anwar El-Sadat ~~ أنور السادات
863,John Napier
864,Karl Landsteiner
865,Johann Pestalozzi
866,Christine De Pisan
867,Harvey Wiley
868,Akira Kurosawa
869,Robert Clive
870,Anthony Van Dyck
871,Luigi Pirandello
872,John Dewey
873,Dorothea Dix
874,Alexandre Dumas
875,Francois-Andre Philidor
876,Willard Libby
877,Alexander Mackenzie
878,Isaac Bashevis Singer
879,James I of England
880,Judah Ha-Levi
881,Paul Kruger
882,Thomas Nast
883,Alfonso De Albuquerque
884,Marcello Malpighi
885,John MacDonald
886,Emma Goldman
887,Arthur Rimbaud
888,Bob Dylan
889,Warren Buffett
890,Henri Bergson
891,"John H Hammond, Jr"
892,Giuseppe Mazzini
893,Samuel Hahnemann
894,"Golda Meir, Israel"
895,Henry Moore
896,John Henry Newman
897,Rabindranath Tagore
898,Mikhail Kutuzov
899,Jack London
900,Cole Porter
901,John Steinbeck
902,Frances Perkins
903,Michael Jordan
904,Richard Nixon
905,Reinhold Niebuhr
906,Friedrich Froebel
907,Cesar Ritz
908,Erich Maria Remarque
909,Gregory Martin
910,Karl Barth
911,William Jennings Bryan (1908)
912,Noam Chomsky
913,Hannah Arendt
914,Martin Heidegger
915,Franklin Kameny
916,Frank Gilbreth
917,Walter Hunt
918,Joseph Goebbels
919,William Cobbett
920,Girolamo Fracastoro
921,Sri Ramana Maharshi
922,Paul Robeson
923,Grote Reber
924,John Phillip Sousa
925,Antonio De Mendoza
926,Jean Auguste Dominique Ingres
927,Samuel Beckett
928,Peter Behrens
929,Federico García Lorca
930,Jane Cunningham Croly
931,Francois Truffaut
932,Sir Robert Peel 1841 - 46
933,Steve Biko
934,Marcel Marceau
935,George Mallory
936,Henry Clay
937,Hugh Hefner
938,Pancho Villa
939,Ibn Battutah
940,Mata Hari
941,Ernesto Che Guevera
942,Andre Malraux
943,Emperor Maximilian I
944,Rosa Parks
945,Simon Wiesenthal
946,Benjamin Lee Guinness
947,Josef Pilsudski
948,Matthew Arnold
949,Saint Teresa of Avila
950,Kahlil Gibran
951,Katherine Hepburn
952,Cary Grant
953,Julius Nyerere
954,Dwight L Moody
955,Amina
956,Louis Braille
957,Edward Lear
958,Ingmar Bergman
959,John Von Neumann
960,Ada Byron Lovelace
961,Andrew Carnegie
962,Mary Pickford
963,Roger Bannister
964,John L Lewis
965,Aaron Copeland
966,Srinivasa Ramanujan
967,Charles Drew
968,Captain Kidd
969,Sciopone Riva-Rocci
970,Harry Houdini
971,Virginia Apgar
972,Coco Chanel
973,Francis Baring
974,Rene-Theopile-Hyacinthe Laennec
975,Jethro Tull
976,Sergey Korolyov
977,Henry Shrapnel
978,Alfred Sloan Jr
979,Albert Lasker
980,Daniel Hale Williams
981,A.P. Giannini
982,John Pemberton
983,Marion Donovan
984,Mahalia Jackson
985,Henry Rous
986,Henry Robert
987,Al Neuharth
988,Walter C Wingfield
989,Fela
990,Joseph Bramah
991,Hubert Booth
992,Edmond Hoyle
993,Ella Fitzgerald
994,William Levitt
995,Elijah McCoy
996,Bernard Cornfeld
